year_month,total_animals_slaughtered
1996-01,327
1996-02,638
1996-03,382
1996-04,398
1996-05,314
1996-06,245
1996-07,289
1996-08,239
1996-09,213
1996-10,303
1996-11,258
1996-12,426
1997-01,252
1997-02,302
1997-03,236
1997-04,347
1997-05,348
1997-06,259
1997-07,298
1997-08,243
1997-09,314
1997-10,375
1997-11,418
1997-12,386
1998-01,497
1998-02,524
1998-03,551
1998-04,447
1998-05,409
1998-06,472
1998-07,723
1998-08,344
1998-09,521
1998-10,564
1998-11,566
1998-12,539
1999-01,538
1999-02,654
1999-03,769
1999-04,515
1999-05,801
1999-06,520
1999-07,548
1999-08,676
1999-09,485
1999-10,422
1999-11,717
1999-12,554
2000-01,610
2000-02,856
2000-03,895
2000-04,705
2000-05,801
2000-06,699
2000-07,688
2000-08,662
2000-09,635
2000-10,556
2000-11,721
2000-12,708
2001-01,1068
2001-02,972
2001-03,199
2001-04,226
2001-05,444
2001-06,304
2001-07,395
2001-08,483
2001-09,378
2001-10,469
2001-11,713
2001-12,716
2002-01,1030
2002-02,1515
2002-03,1759
2002-04,1456
2002-05,2105
2002-06,1780
2002-07,2334
2002-08,2589
2002-09,1828
2002-10,2311
2002-11,2067
2002-12,1878
2003-01,2483
2003-02,2308
2003-03,2144
2003-04,2152
2003-05,2431
2003-06,2257
2003-07,2126
2003-08,1618
2003-09,1713
2003-10,1898
2003-11,1705
2003-12,1684
2004-01,1763
2004-02,1867
2004-03,2279
2004-04,1768
2004-05,2010
2004-06,1921
2004-07,2046
2004-08,1675
2004-09,1503
2004-10,1546
2004-11,1890
2004-12,2412
2005-01,1994
2005-02,2682
2005-03,3568
2005-04,3074
2005-05,2485
2005-06,2570
2005-07,2283
2005-08,2291
2005-09,2075
2005-10,2156
2005-11,2548
2005-12,2098
2006-01,2325
2006-02,2129
2006-03,2192
2006-04,1618
2006-05,1886
2006-06,1783
2006-07,1588
2006-08,1560
2006-09,1465
2006-10,2026
2006-11,2049
2006-12,1899
2007-01,2333
2007-02,2483
2007-03,2645
2007-04,2139
2007-05,2493
2007-06,2158
2007-07,1999
2007-08,1866
2007-09,1831
2007-10,2135
2007-11,2680
2007-12,2632
2008-01,3053
2008-02,3562
2008-03,2867
2008-04,3657
2008-05,3916
2008-06,2918
2008-07,3478
2008-08,2474
2008-09,2872
2008-10,3363
2008-11,3497
2008-12,4018
2009-01,4070
2009-02,4294
2009-03,3462
2009-04,4201
2009-05,3373
2009-06,2839
2009-07,3021
2009-08,2139
2009-09,2247
2009-10,2889
2009-11,3008
2009-12,3153
2010-01,2180
2010-02,3172
2010-03,3030
2010-04,2448
2010-05,2950
2010-06,2572
2010-07,2808
2010-08,2229
2010-09,2290
2010-10,2787
2010-11,3002
2010-12,2910
2011-01,2693
2011-02,3633
2011-03,3193
2011-04,2641
2011-05,2919
2011-06,3219
2011-07,2497
2011-08,2678
2011-09,2543
2011-10,2156
2011-11,3179
2011-12,3324
2012-01,2589
2012-02,3794
2012-03,3147
2012-04,2827
2012-05,3504
2012-06,2553
2012-07,3349
2012-08,3001
2012-09,2652
2012-10,3948
2012-11,3776
2012-12,2853
2013-01,3213
2013-02,3114
2013-03,2993
2013-04,2738
2013-05,3260
2013-06,2044
2013-07,2723
2013-08,2535
2013-09,2120
2013-10,2867
2013-11,2762
2013-12,2422
2014-01,2944
2014-02,3012
2014-03,2917
2014-04,2881
2014-05,2756
2014-06,2658
2014-07,2328
2014-08,1949
2014-09,2560
2014-10,2929
2014-11,2736
2014-12,3361
2015-01,3003
2015-02,2969
2015-03,3034
2015-04,2582
2015-05,2861
2015-06,2613
2015-07,3063
2015-08,2665
2015-09,3015
2015-10,3216
2015-11,3379
2015-12,3851
2016-01,3138
2016-02,3719
2016-03,3592
2016-04,3096
2016-05,3487
2016-06,3192
2016-07,2846
2016-08,2863
2016-09,3478
2016-10,3122
2016-11,3317
2016-12,3475
2017-01,3557
2017-02,3322
2017-03,4429
2017-04,2900
2017-05,4436
2017-06,3062
2017-07,3127
2017-08,3494
2017-09,3168
2017-10,4391
2017-11,4223
2017-12,3455
2018-01,4096
2018-02,3900
2018-03,4288
